Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ENDP,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,LBTYA,LBTYK,LLTC,LRCX,LVNTA,MAR,MAT,MDLZ,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PCLN,QCOM,QVCA,REGN,ROST,SBAC,SBUX,SIRI,SRCL,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,VRTX,WBA,WDC,WFM
2015-01-02,53.151581,106.271212,72.339996,53.222483,80.307615,59.529999,63.25,186.600006,24.211938,154.641144,308.519989,19.765196,98.262168,76.505963,223.080002,342.01001,92.169998,29.139198,113.519997,65.029999,78.459999,166.429993,55.661311,134.877379,26.28269,34.543077,22.610001,52.669998,63.48,34.48,33.439999,72.269997,70.349998,46.869999,23.657407,72.150002,84.650002,84.719716,45.466789,78.449997,70.620003,35.96263,37.272805,92.819323,524.812404,529.549988,136.839996,185.419998,73.760002,34.690314,89.42651,525.570007,24.02,50.099998,48.34,44.114172,77.754618,37.16,76.166237,27.951488,35.912578,108.160004,44.882326,34.75,30.084686,56.349998,46.700001,49.848572,40.067938,96.608949,19.678589,76.809998,192.110001,43.981869,64.570992,1142.060059,70.669193,28.92,410.160004,46.203355,110.970001,39.931203,3.48,131.639999,59.962617,72.041564,19.818064,27.299999,74.589996,77.024647,219.309998,51.404268,126.839996,71.81606,31.332546,63.970001,123.07,74.067599,105.162398,48.869348
2015-01-05,53.122004,103.277382,71.980003,52.254625,80.249766,58.66,61.939999,182.169998,23.435915,152.803523,302.190002,19.490271,96.691388,75.628528,219.789993,336.73999,93.110001,29.22465,111.93,64.169998,78.010002,160.5,54.526161,133.343923,25.75913,33.608441,22.290001,52.34,62.07,33.060001,32.130001,70.440002,69.620003,46.57,23.459596,71.970001,84.220001,83.178634,44.689824,77.190002,69.82,35.224076,36.514551,94.657908,513.872306,519.460022,135.610001,190.720001,74.220001,34.299142,89.073548,514.369995,24.58,47.740002,46.130001,43.433281,76.805323,36.529999,74.079627,27.942315,35.375696,109.43,44.469596,33.779999,29.628282,55.720001,46.029999,47.311428,38.70528,97.18581,19.346215,76,188.720001,44.057961,62.401255,1097.579956,70.336208,28.110001,412.470001,46.16885,109.220001,39.16631,3.4,130.100006,59.644731,70.872311,19.539263,26.93,72.730003,75.446072,210.089996,50.606485,127.150002,69.815879,30.227669,63.139999,121.029999,72.605739,103.772043,48.557396
2015-01-06,52.293821,103.287104,70.529999,51.028037,79.58447,57.5,60.669998,177.949997,22.553188,147.880606,295.290009,19.126976,94.492297,75.209756,220.179993,334.649994,90.279999,28.740421,110.510002,63.52,77.949997,156.309998,53.814866,135.105974,25.74961,32.269115,22.58,50.98,60.330002,31.98,31.120001,68.669998,68.669998,45.959999,23.156566,73.860001,83.279999,83.148999,43.922452,76.150002,69.889999,34.731707,36.061563,95.498964,501.962262,506.640015,134.820007,188.309998,71.489998,33.659907,86.338102,519.789978,24.530001,47.580002,46.119999,42.253706,75.523272,35.689999,73.148974,27.346041,35.131659,112.279999,43.816902,32.869999,29.495164,54.18,45.610001,46.501427,38.357367,98.847939,18.759669,72.379997,188.080002,43.744078,62.486525,1079.959961,69.337246,27.6,396.890015,46.257575,108.650002,38.847609,3.35,130.5,58.000802,68.612419,19.23723,26.870001,70.010002,74.29174,211.279999,49.77025,126.949997,68.434797,30.034313,62.919998,117.360001,72.79091,101.457955,48.216195
2015-01-07,52.264241,104.735415,71.110001,51.564671,80.27869,57.380001,60.16,187.929993,22.766594,153.045316,298.420013,18.714587,97.044815,77.981637,224.350006,353.23999,93.760002,29.072735,114.550003,64.190002,78.589996,156.789993,53.766148,137.458543,25.987592,32.693073,22.934999,52.650002,61.23,32.209999,31.32,68.459999,70.830002,46.810001,23.118686,76.980003,84.559998,83.148999,43.634689,76.150002,70.839996,33.441699,34.781388,97.288655,501.102268,505.149994,138.550003,194.919998,74.449997,34.365927,87.183689,522.640015,24.809999,47.59,45.939999,42.426327,75.914738,35.75,74.824141,27.437776,36.234706,115.959999,44.373609,32.099998,30.179771,56.110001,46.209999,46.742859,38.556311,100.334084,18.71079,74.330002,189.789993,44.543057,63.320315,1069.569946,70.145933,28.09,407.720001,47.159658,110.139999,39.80372,3.41,131.300003,58.373181,69.742369,19.415352,28.25,70.839996,76.699064,210.949997,50.664154,130.580002,67.910944,30.236875,62.959999,120.660004,74.652342,102.981632,48.908339
2015-01-08,52.905098,108.759587,72.919998,52.475028,82.120295,58.799999,61.57,183.800003,23.494116,152.494021,300.459991,18.901144,101.894603,79.218015,229.210007,350.25,94.18,29.537975,115.050003,65.599998,80.529999,162.940002,54.935402,138.639579,26.187497,33.213388,23.27,53.880001,61.509998,32.470001,31.43,70.220001,71.110001,48.130001,23.741582,78.220001,86.410004,86.823876,44.622679,78.18,72.279999,33.599257,35.135898,100.046536,502.682285,506.910004,140.5,196.820007,73.209999,35.005158,88.353744,533,25.08,47.77,46.209999,43.596309,77.881849,37.09,77.302611,27.50199,36.693498,117.709999,45.678998,33.669998,30.883395,56.650002,46.68,47.779999,39.352087,100.832718,19.414645,77.839996,193.240005,45.237407,64.154097,1082.849976,70.888015,28.700001,403.25,47.785695,111.239998,40.446031,3.54,133.270004,59.426753,72.906217,19.771598,29.02,73.260002,79.836484,210.619995,51.490775,132.240005,68.853885,31.295719,63.59,123.970001,75.578191,105.114781,49.366521
2015-01-09,51.28817,108.876233,71.839996,52.436699,81.532136,58.27,60.779999,184.270004,23.513517,150.617705,296.929993,18.557487,102.984333,73.873664,226.899994,342.339996,93.779999,29.54747,113.669998,64.949997,80.580002,161.979996,54.847708,136.506086,26.454037,33.14594,23.405001,54.119999,61.110001,32.029999,31.17,71.790001,69.459999,47.509998,23.413299,77.959999,84.900002,86.488004,44.114296,77.739998,72.07,33.323532,34.840474,99.958514,496.172244,500.720001,141.210007,194.800003,72.029999,35.071944,86.495425,520.869995,24.940001,47.599998,46,43.797699,78.02865,37.009998,77.126277,26.694727,36.332323,117.040001,45.295059,33.529999,31.368327,55.84,45.200001,47.041428,39.449135,101.272699,19.492851,80.32,187.809998,44.837916,61.804343,1051.959961,70.802386,28.379999,411.040009,46.927975,110.849998,39.122184,3.53,131.919998,60.344087,72.788314,19.639942,29.25,74.529999,78.849874,206.660004,51.519609,131.570007,68.263353,31.314131,63.09,122.209999,73.745988,106.867015,48.693874
2015-01-12,48.882498,106.193449,71.120003,51.909646,81.136821,57.290001,60.75,183.360001,22.9509,151.091624,291.410004,18.518213,101.276111,73.205623,220.889999,347.839996,96.580002,29.68989,117,64.790001,80.68,163.850006,54.73078,135.744118,26.701537,32.673802,23.155001,54.150002,61.150002,31.639999,30.879999,71.279999,69.43,47.060001,23.232322,77.959999,83.080002,84.136869,43.797753,76.720001,71.970001,33.293991,34.840474,98.980542,492.552239,497.059998,139.860001,190.100006,73.300003,34.919291,85.266378,525.51001,24.110001,47.610001,46.18,43.586721,75.660284,36.650002,76.322981,26.520431,35.990668,111.959999,44.728751,31.66,31.14963,55.27,45.32,45.547142,38.692175,101.69312,19.248457,80.349998,185.580002,44.780848,62.372831,1039.97998,69.993707,28.48,413.329987,47.23853,110.5,39.337923,3.57,132.320007,59.072537,71.059,19.585731,29.27,71.449997,78.198715,202.210007,51.05824,129.839996,68.958657,31.59956,62.970001,118.309998,73.775224,105.057645,50.516847
2015-01-13,49.690962,107.136312,70.589996,51.315518,80.97291,57.34,60.790001,179.210007,22.63079,150.047077,294.73999,18.223648,100.706701,73.933494,219.600006,352.73999,97.129997,29.65191,119.980003,65.269997,79.470001,164.399994,55.383615,134.382097,26.749134,32.326925,23.245001,54.150002,58.880001,31.209999,30.33,71.769997,68,46.419998,23.202861,79.870003,83.580002,83.988687,44.008782,76.449997,72.220001,33.047806,34.594286,95.068654,496.182251,501.799988,139.539993,185.089996,76.18,34.823885,84.863247,521.659973,23.84,47.860001,46.470001,43.318197,74.926288,36.68,75.842957,25.933331,35.756394,113.110001,44.49839,30.84,30.759784,55.48,45.639999,46.255714,38.158424,102.533964,19.219129,79.239998,182.75,44.780848,61.927513,1037.819946,69.422875,28.76,406.48999,46.760377,110.589996,39.651724,3.54,135.210007,58.809143,71.56993,19.624453,29.469999,71.470001,77.517952,204.25,50.74105,128.809998,69.177721,31.756086,63.43,120.599998,73.346417,104.162481,50.42911
2015-01-14,48.714888,106.728064,69.989998,51.277186,80.741499,56.41,59.709999,175.399994,22.330082,150.066424,293.269989,18.586944,101.501907,73.933494,216.820007,348.75,98.940002,29.4905,121.099998,64.68,79.660004,158.130005,54.389749,132.686726,26.577787,32.423282,23.02,54.41,57.529999,30,29.17,70.440002,67.370003,46.900002,22.739898,79.089996,84.260002,84.354202,43.097527,76.279999,71.790001,32.791772,34.328403,97.0735,500.872267,505.929993,139.089996,182.410004,75.779999,34.680771,84.784594,535.359985,23.82,47.84,46.169998,43.74975,74.427177,36.360001,75.010273,25.639781,35.6783,117.739998,44.114451,30.049999,30.664701,54.59,45.040001,46.32,37.741126,102.524185,19.297335,80.07,182.460007,44.837916,61.349548,1035.670044,68.709333,28.24,404.309998,45.661117,109.949997,39.43108,3.51,134.75,58.66382,70.351553,19.523774,29.57,69.730003,76.324154,192.690002,50.664154,128.75,64.577308,31.682426,62.970001,120.379997,73.083278,103.581578,50.282514
2015-01-15,48.714888,103.831434,70.290001,50.529735,80.70293,55.709999,58.630001,172.869995,22.63079,146.932782,286.950012,18.213829,99.469709,71.949307,215.970001,339.880005,97.779999,29.22465,118.269997,64.07,79,160.490005,54.565137,132.686726,26.092304,32.866511,22.825001,53.84,56.98,29.469999,28.459999,70.190002,66.410004,46.639999,22.314815,78.080002,84.300003,81.528893,42.195866,74.050003,71.720001,32.614519,34.06252,95.254471,501.792271,504.01001,137.839996,180.910004,72.900002,34.528119,83.653869,524.380005,23.32,47.18,45.759998,43.001728,75.04373,35.48,74.549846,25.135241,35.668541,116.260002,43.653726,29.299999,30.13223,52.740002,44.68,46.251427,37.323829,104.323194,19.160475,76.610001,179.960007,44.780848,60.032546,998.25,67.910162,27.51,397.119995,44.926636,108.389999,39.019218,3.52,133.509995,56.565766,70.086264,19.291441,29.18,66.389999,74.193073,191.869995,50.356574,127.139999,63.320051,31.59956,62.700001,117.779999,72.878618,99.705721,49.442029
