Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ENDP,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,LBTYA,LBTYK,LLTC,LRCX,LVNTA,MAR,MAT,MDLZ,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PCLN,QCOM,QVCA,REGN,ROST,SBAC,SBUX,SIRI,SRCL,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,VRTX,WBA,WDC,WFM
2015-01-02,48.389534,113.882149,70.129997,49.935608,79.574829,54.009998,58.16,183.240005,22.155476,147.261612,354.529999,20.521242,101.001221,74.551682,217.919998,389.160004,97.160004,28.768904,119.160004,66.349998,77.169998,151.119995,51.788162,136.191772,25.102303,32.08604,23.780001,54.130001,59.259998,28.99,27.879999,70.349998,71.099998,54.860001,22.306396,79.610001,80.709999,84.88765,42.853439,75.910004,72.529999,31.363903,32.654327,102.520805,534.522461,537.549988,138.070007,195.190002,79.709999,31.522772,85.3647,494.480011,24.84,46.720001,45.59,43.097626,74.808853,37.349998,72.982437,24.676569,34.399548,116.949997,38.777718,29.27,31.463409,53.150002,43.759998,63.114285,36.683327,106.816391,18.769445,79.339996,187.360001,43.401531,56.953224,1009.47998,59.423771,27.360001,416.660004,45.207611,116.699997,42.917217,3.55,131.289993,51.261589,81.601913,19.18302,30.18,67.010002,80.083138,203.600006,51.696003,131.940002,61.357964,32.345356,64.349998,110.139999,71.874809,92.592049,50.917763
2015-02-02,47.321808,125.358795,79.099998,56.476273,85.658882,64.239998,69.510002,180.369995,24.400318,153.349976,380.160004,22.897387,125.289429,74.442009,203.75,409.589996,107.07,31.11512,121.529999,72.059998,83.489998,180.600006,57.858536,144.957535,28.091351,33.208599,22.684999,62.490002,63.68,32.299999,30.51,75.040001,79.68,57.18,24.372896,85.599998,84.790001,90.637054,40.102711,78.970001,78.07,33.520481,34.466267,101.249435,558.402527,562.630005,140.050003,195.460007,85.849998,31.950668,95.9935,500,27.67,54.060001,52.169998,46.510132,80.700394,40.18,81.60569,24.481325,36.058998,141.119995,42.388714,30.67,32.973408,57.330002,49.32,67.844284,37.508217,98.159317,21.648348,84.900002,208.130005,47.793468,60.898438,1237.47998,68.985237,29.530001,413.839996,52.158077,124.709999,46.006805,3.89,134.970001,56.012894,86.356827,19.600668,33.029999,89.25,87.104279,203.339996,56.870438,140.759995,66.615585,31.820538,71.809998,119.43,81.311295,101.876968,55.208149
2015-03-02,52.142899,121.426079,73.940002,60.779041,83.051392,58.639999,71.050003,173.300003,21.974897,155.420959,372.100006,22.546522,125.029129,76.555809,208.399994,422.23999,124.620003,31.201233,115.279999,73.260002,81.970001,193.110001,55.270103,149.435669,26.407097,32.056797,29.309999,62.389999,63.869999,30.76,29.48,70.059998,81.150002,58.82,24.276094,89.699997,86.769997,93.171715,39.99654,82.220001,79.400002,32.523376,33.469521,95.968384,548.002441,554.700012,139.619995,185.639999,91.660004,30.048042,95.334732,505.029999,29.379999,51.470001,49.810001,45.168587,68.895836,42.009998,78.875679,21.253735,35.380558,138.399994,39.305019,27.129999,33.366405,59.349998,54.009998,59.527142,34.412453,103.320435,20.539434,100.360001,216.240005,47.5825,60.033211,1164.150024,66.353668,29.190001,451.480011,52.05262,117.099998,46.602249,3.82,140.429993,47.682442,96.729492,18.206186,31.690001,83.169998,84.079544,188.770004,55.313271,150.850006,65.362335,30.089558,71.400002,117.970001,82.877228,87.137581,50.89822
2015-04-01,47.804901,122.1287,76.059998,59.659939,81.984642,56.830002,73.779999,169.229996,19.276741,153.534714,421.779999,22.635796,115.084297,70.254265,200.279999,373.929993,112.050003,30.39752,108.059998,71.809998,83.480003,187.059998,56.532692,141.486832,27.654072,34.931458,31.84,58.540001,67.160004,32.360001,30.23,67.660004,76.410004,58.09,24.520201,84.07,86.400002,93.270706,41.411053,78.769997,77.599998,32.988277,33.706894,98.295967,537.340027,548.77002,137.100006,184.25,97.160004,31.278023,98.902229,495.980011,33.560001,52.139999,50.450001,44.521946,74.133652,41.68,78.610542,26.192787,37.615738,137.110001,47.019089,28.129999,31.468517,72.260002,48.509998,79.5,35.341961,125.780121,21.785736,96.120003,217.830002,46.403008,62.134468,1237.810059,65.071381,28.76,457.459991,48.851204,115.82,48.797035,3.95,133.429993,54.310513,90.785385,19.42149,34.040001,80.489998,85.068016,226.050003,52.753887,151.089996,66.462868,32.409805,75.040001,123.279999,81.164482,93.581223,46.794296
2015-05-01,41.94437,127.665909,79.089996,65.958855,82.925323,54.150002,76.269997,163.839996,19.705521,152.679352,429.230011,25.056101,145.79512,71.111755,197.399994,396.98999,125.57,29.368895,114.440002,67.290001,84.720001,179.020004,57.217819,141.03186,28.114492,33.157585,39.935001,64.720001,65.010002,33.939999,31.450001,70.790001,74.989998,62.759998,25.824917,83.760002,87.139999,106.33744,40.332539,79.190002,80.150002,33.077301,33.232147,109.796913,532.109985,545.320007,141.669998,206.080002,110.150002,33.352829,102.667862,487.75,33.68,57.529999,53.75,46.485146,80.67601,41.5,76.824982,24.36289,40.772442,127.279999,45.5928,27.93,33.891804,72.629997,54.560001,89.151428,32.563351,139.114578,21.817564,112.25,219.529999,47.751438,60.632172,1172.040039,66.679024,27.969999,512.559998,47.759365,111.809998,51.302155,3.86,137.300003,51.4618,107.767929,19.187777,38.880001,76.260002,86.33535,250.800003,54.417953,152.619995,64.00341,35.936211,72.580002,128.289993,84.342636,93.217392,40.406136
2015-06-01,39.53878,122.913223,81.010002,62.299866,78.266083,50.080002,69.82,180.770004,18.814709,150.002151,434.089996,24.014576,131.257462,68.778595,199.080002,403.940002,136.779999,28.25008,115.739998,69.059998,79.550003,171.25,59.103279,133.584137,26.339951,31.766289,36.310001,61.09,70.160004,33.259998,31.08,67.709999,78.989998,66.5,25.353535,79.650002,88.940002,108.409462,40.983532,85.769997,82.830002,31.870537,32.193642,114.915749,520.51001,540.039978,142.119995,218.360001,104.209999,29.442633,99.33596,484.5,34.099998,54.07,50.630001,42.968403,80.081154,39.27,73.278763,24.24962,40.479092,134.020004,42.956085,18.84,33.41827,67.860001,56.040001,93.848572,30.769442,142.518402,19.826084,98.199997,225.979996,45.306366,60.870655,1151.369995,60.348373,27.75,510.130005,48.146713,114.970001,52.941135,3.73,133.910004,43.93306,102.584503,18.226616,38.77,87.139999,89.109497,268.26001,50.126408,154.449997,62.23045,34.665585,72.760002,123.480003,82.967056,75.544136,38.769222
2015-07-01,39.697174,118.866096,81.989998,56.612419,77.817337,50.580002,76.709999,197.440002,16.993933,172.543503,536.150024,25.581823,123.565491,65.039543,172.660004,318.779999,146.270004,28.105404,131.25,71.720001,80.769997,185.860001,61.334148,143.71225,27.470879,30.433369,35.790001,63.099998,75.610001,33.02,30.299999,64.610001,78.029999,71.550003,28.120001,87.540001,90.07,120.395477,40.956467,94.010002,86.860001,33.156437,34.112404,115.681328,625.609985,657.5,147.979996,219.300003,104.279999,28.019863,104.517067,533.169983,33.029999,52.459999,49.139999,39.830532,75.671036,41.48,71.525352,21.908667,44.404991,153.550003,45.437126,18.51,32.896408,55.990002,62.419998,114.309998,30.543695,136.3797,19.668343,96.989998,240.309998,45.249344,61.853207,1243.569946,62.044258,29.049999,553.659973,52.653347,120.720001,57.196571,3.96,140.970001,46.80027,94.277229,17.826807,40.66,79.379997,91.665665,266.149994,48.969971,166.029999,54.875244,35.93047,78.110001,135,94.94442,82.903961,35.78093
2015-08-03,38.678459,110.997612,78.57,54.647057,75.427315,46.75,71.309998,172.190002,15.843747,148.991882,512.890015,28.398897,124.385048,61.92865,147.25,297.299988,129.240005,26.572054,118.080002,61.759998,78.010002,181.610001,55.358959,138.900452,25.015705,26.822012,33.224998,62.939999,68.110001,26.6,25.360001,59.27,76.260002,66.150002,27.110001,77,83.599998,114.254044,37.70813,89.43,85.269997,27.359995,27.090134,103.127754,618.25,647.820007,136.809998,197.610001,116.190002,27.852512,84.734222,510.950012,25.879999,48.119999,44.869999,39.412254,71.634979,39.73,69.843872,22.4949,41.679493,138.460007,42.622345,16.41,32.829967,49.59,57.599998,115.029999,31.337929,109.804657,22.255871,84.650002,240.070007,43.552494,56.468758,1248.640015,54.978123,27.040001,513.5,48.156616,118.199997,54.166271,3.82,141.139999,48.04575,86.320251,16.178669,39.610001,69.900002,84.70488,249.059998,46.873219,158.089996,39.25024,32.792023,73.080002,127.519997,85.373962,78.954315,32.202835
2015-09-01,38.529621,108.576057,82.220001,55.185116,78.887207,44.139999,69.059998,156.389999,14.465173,135.779144,511.890015,30.640656,123.824142,56.853512,137.410004,291.809998,105.32,26.581789,108.169998,59.959999,79.330002,175.850006,55.899479,143.383362,25.373348,26.351795,31.59,62.610001,69.279999,26.030001,24.290001,58.34,66.660004,67.75,24.440001,69.279999,80.959999,116.926826,35.819786,89.900002,86.610001,26.924931,26.834423,96.754433,608.419983,638.369995,132.720001,175.820007,110.330002,29.413969,87.698685,459.579987,26.059999,42.939999,41.02,39.480743,64.581055,40.349998,67.412277,20.219486,41.361652,135.139999,43.34708,14.98,32.566708,40.259998,57.299999,103.260002,29.023865,118.634071,24.404236,87.07,250,46.448841,49.95718,1236.859985,52.208809,26.23,465.140015,48.127682,104.739998,56.275105,3.74,139.309998,41.87645,83.217262,15.373288,39.810001,63.02,83.721901,248.399994,48.519268,163.350006,41.916618,30.186161,73.910004,104.139999,81.97084,77.082321,31.241596
2015-10-01,45.862453,117.632263,88.660004,58.814556,85.395691,55.189999,60.82,176,16.51334,155.274307,625.900024,34.479416,121.961967,59.455891,187.470001,290.51001,117.040001,26.981003,122.709999,66.290001,84.940002,190.940002,61.803654,156.822128,28.111408,26.43996,46.485001,68.110001,82.099998,29.440001,27.52,62.970001,65.489998,72.07,27.9,59.990002,86.379997,135.427658,38.595291,101.970001,96.510002,30.714512,30.524406,106.549103,710.809998,737.390015,151.710007,143.279999,117.529999,33.044361,96.594978,496.600006,27.620001,44.52,42.639999,43.463066,75.71196,43.57,75.893181,23.599003,45.599567,136.320007,51.554234,16.559999,39.957592,44.09,63.619999,108.379997,33.530869,142.742111,28.087149,78.349998,276.26001,50.708576,50.416824,1454.23999,57.737717,27.370001,557.390015,50.222782,119.019997,61.948158,4.08,121.370003,35.576286,76.32943,16.265524,37.889999,83.779999,91.734657,206.929993,55.937622,173.960007,47.900543,31.355947,71.610001,124.739998,83.529373,64.836868,29.573402
