Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ENDP,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,LBTYA,LBTYK,LLTC,LRCX,LVNTA,MAR,MAT,MDLZ,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PCLN,QCOM,QVCA,REGN,ROST,SBAC,SBUX,SIRI,SRCL,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,VRTX,WBA,WDC,WFM
2015-01-02,53.151581,106.27121,72.339996,53.222485,80.307617,59.529999,63.25,186.600006,24.211937,154.641144,308.519989,19.765196,98.262169,76.505966,223.080002,342.01001,92.169998,29.139198,113.519997,65.029999,78.459999,166.429993,55.661312,134.87738,26.28269,34.543076,22.610001,52.669998,63.48,34.48,33.439999,72.269997,70.349998,46.869999,23.657408,72.150002,84.650002,84.719719,45.466789,78.449997,70.620003,35.962631,37.272804,92.819321,524.812378,529.549988,136.839996,185.419998,73.760002,34.690315,89.426506,525.570007,24.02,50.099998,48.34,44.114174,77.754616,37.16,76.166237,27.951488,35.912579,108.160004,44.882324,34.75,30.084686,56.349998,46.700001,49.848572,40.067936,96.608948,19.678589,76.809998,192.110001,43.981869,64.570992,1142.060059,70.669189,28.92,410.160004,46.203354,110.970001,39.931202,3.48,131.639999,59.962616,72.041565,19.818064,27.299999,74.589996,77.024643,219.309998,51.404266,126.839996,71.816063,31.332546,63.970001,123.07,74.067596,105.162399,48.869347
2015-01-05,51.28817,108.876236,71.839996,52.436699,81.532135,58.27,60.779999,184.270004,23.513517,150.617706,296.929993,18.557487,102.984337,73.873665,226.899994,342.339996,93.779999,29.54747,113.669998,64.949997,80.580002,161.979996,54.847706,136.506088,26.454037,33.145939,23.405001,54.119999,61.110001,32.029999,31.17,71.790001,69.459999,47.509998,23.4133,77.959999,84.900002,86.488007,44.114296,77.739998,72.07,33.323532,34.840473,99.958511,496.172241,500.720001,141.210007,194.800003,72.029999,35.071945,86.495422,520.869995,24.940001,47.599998,46,43.797699,78.028648,37.009998,77.126274,26.694727,36.332325,117.040001,45.295059,33.529999,31.368326,55.84,45.200001,47.041428,39.449135,101.272697,19.492851,80.32,187.809998,44.837917,61.804344,1051.959961,70.802383,28.379999,411.040009,46.927975,110.849998,39.122185,3.53,131.919998,60.344086,72.788315,19.639942,29.25,74.529999,78.849876,206.660004,51.519608,131.570007,68.263351,31.314131,63.09,122.209999,73.745987,106.867012,48.693874
2015-01-12,49.109261,103.024651,71.730003,51.449677,81.541779,56.849998,59.220001,180.440002,22.766594,153.229065,290.73999,19.883022,101.924057,73.325272,220.199997,352.75,99.449997,29.775341,121.809998,65.589996,80.809998,161.110001,55.315407,133.07724,26.349325,33.589169,23.035,55.040001,58.380001,29.42,28.540001,71.849998,66.709999,48.09,22.584175,79.989998,85.379997,82.467377,43.404476,75.18,73.040001,33.077347,34.407181,98.491554,508.082275,510.459991,139.5,183.820007,74.379997,34.77618,84.971405,530.630005,24.07,46.400002,45.110001,43.462051,75.92453,36.139999,74.344124,25.520525,36.058998,118.889999,44.383209,28.99,30.446009,56,44.849998,48.191429,37.605263,106.278641,19.512402,77.910004,182.910004,44.990101,61.112679,1008.219971,67.824539,27.93,408.690002,45.794212,109.519997,39.524242,3.53,134.149994,57.592091,72.562325,19.849041,29.139999,68.18,75.495399,193.070007,51.221645,129.720001,64.834473,31.848158,62.900002,122.860001,74.096832,101.296066,50.292286
2015-01-20,54.90654,109.819099,74.059998,52.235458,83.740135,58.189999,61.02,183.320007,23.387415,154.563766,312.390015,20.275772,105.026352,76.396286,233.330002,357.529999,97.690002,29.443027,123.889999,67.220001,80.059998,158.929993,54.867195,135.296463,26.853846,33.213387,25.049999,56.060001,60.970001,29.84,28.98,73.650002,72.07,49.790001,23.888887,78.870003,84.800003,86.379341,44.402061,77.830002,74.059998,32.732689,33.767097,103.215164,539.952454,541.950012,143.330002,197.160004,79.900002,34.77618,87.92112,517.570007,24.65,46.799999,45.560001,44.843014,78.703918,37.66,76.910759,25.722343,36.058998,119.309998,45.285461,30.950001,32.100471,54.209999,45.700001,62.494286,38.313698,110.385094,20.245583,80.230003,190.080002,46.017361,61.160053,1037.98999,68.67128,28.66,420.209991,46.666718,118.379997,43.255535,3.57,135.100006,58.109791,79.450096,20.638977,30.16,69.769997,78.652557,201.289993,52.922943,135.339996,64.577309,33.08194,65.110001,125.57,73.668022,101.03894,51.973259
2015-01-26,48.389534,113.882149,70.129997,49.935608,79.574829,54.009998,58.16,183.240005,22.155476,147.261612,354.529999,20.521242,101.001221,74.551682,217.919998,389.160004,97.160004,28.768904,119.160004,66.349998,77.169998,151.119995,51.788162,136.191772,25.102303,32.08604,23.780001,54.130001,59.259998,28.99,27.879999,70.349998,71.099998,54.860001,22.306396,79.610001,80.709999,84.88765,42.853439,75.910004,72.529999,31.363903,32.654327,102.520805,534.522461,537.549988,138.070007,195.190002,79.709999,31.522772,85.3647,494.480011,24.84,46.720001,45.59,43.097626,74.808853,37.349998,72.982437,24.676569,34.399548,116.949997,38.777718,29.27,31.463409,53.150002,43.759998,63.114285,36.683327,106.816391,18.769445,79.339996,187.360001,43.401531,56.953224,1009.47998,59.423771,27.360001,416.660004,45.207611,116.699997,42.917217,3.55,131.289993,51.261589,81.601913,19.18302,30.18,67.010002,80.083138,203.600006,51.696003,131.940002,61.357964,32.345356,64.349998,110.139999,71.874809,92.592049,50.917763
2015-02-02,47.56879,116.058861,72.540001,52.714596,83.344826,57.07,61.130001,175.630005,23.513517,146.429855,374.279999,21.709314,102.827255,77.971664,211.779999,402,93.849998,30.411484,118.75,67.720001,76.720001,173.429993,55.461563,146.322525,25.930477,34.148026,24.120001,57.439999,62.169998,29.91,28.91,75.629997,75.07,55.139999,22.93771,79.690002,81.839996,76.925423,40.865192,74.470001,76.980003,32.072914,33.067924,95.33271,531.002441,533.880005,139.830002,192.639999,75.349998,31.998714,86.357773,512.27002,26.459999,49.060001,47.59,44.478596,76.472572,36.939999,72.708145,25.887463,35.053566,117.150002,40.707005,28.91,32.309662,53.889999,43.849998,63.48,37.721718,109.153152,19.942535,82.290001,206.779999,45.770107,59.454582,1022.419983,63.124676,27.99,406.859985,46.81953,117.879997,43.797256,3.72,130.190002,54.931492,80.147011,19.190763,31.309999,68.580002,81.819572,217.360001,52.576138,133.259995,63.882004,32.308525,65.959999,108.660004,74.213783,98.467735,52.315315
2015-02-09,47.805893,124.012108,76.510002,54.669472,85.572105,60.669998,68.769997,182.289993,23.49444,149.227448,381.829987,22.691193,108.138458,77.682518,212.130005,391.660004,100.760002,30.981167,115.879997,70.980003,80.330002,177.880005,57.946228,145.095627,28.015196,34.764694,23.375,60.23,64.510002,31.450001,30.32,77.199997,76.82,56.389999,23.766836,84.010002,84.900002,88.404465,41.019619,75.739998,78.699997,33.146278,34.19054,99.655342,549.012512,551.159973,143.179993,198.539993,75.940002,33.017292,88.737206,510.730011,26.23,52.490002,50.779999,46.703159,80.455727,38.869999,77.782631,25.337057,35.902813,117.739998,42.108376,31.85,33.203453,55.849998,43.709999,66.585716,37.090919,110.473083,21.809704,84.790001,205.550003,46.757812,61.06007,1103.369995,67.434471,29.469999,402.399994,47.41106,121.669998,45.066887,3.83,131.070007,56.672733,80.550499,20.391153,31.75,84.809998,83.131767,203.770004,56.067677,136.660004,65.701218,33.008282,67.900002,113.660004,77.053902,102.476913,54.875866
2015-02-17,50.404148,126.373688,78.550003,56.662682,85.514259,62.369999,71.620003,186.020004,24.478243,153.291641,383.660004,22.887568,110.013573,76.665489,209.630005,408.049988,107.160004,31.41173,123.43,72.080002,82.480003,175.889999,57.00108,145.529633,28.186543,34.254013,23.475,63.049999,64.919998,30.93,29.51,78.309998,77.690002,57.669998,24.419191,86.32,86.080002,91.180382,41.280216,79.900002,79.050003,33.756817,34.761692,100.349701,538.952454,541.799988,142.550003,203.139999,82.489998,33.065338,95.098755,513.309998,28.209999,53.25,51.650002,46.568043,82.050941,39.799999,81.309296,23.969749,36.088287,121.260002,42.39838,32.029999,33.165112,57.869999,47.77,68.314285,37.07151,107.627907,21.839031,84.660004,205.839996,47.524967,61.411861,1216.22998,68.043358,29.23,423.779999,48.268776,121.25,46.016647,3.86,134.610001,56.984322,82.961609,19.89551,31.950001,88.779999,87.104279,217.110001,56.599625,138,66.396515,33.063526,67.800003,118.610001,75.487961,106.00042,55.43293
2015-02-23,47.321808,125.358795,79.099998,56.476273,85.658882,64.239998,69.510002,180.369995,24.400318,153.349976,380.160004,22.897387,125.289429,74.442009,203.75,409.589996,107.07,31.11512,121.529999,72.059998,83.489998,180.600006,57.858536,144.957535,28.091351,33.208599,22.684999,62.490002,63.68,32.299999,30.51,75.040001,79.68,57.18,24.372896,85.599998,84.790001,90.637054,40.102711,78.970001,78.07,33.520481,34.466267,101.249435,558.402527,562.630005,140.050003,195.460007,85.849998,31.950668,95.9935,500,27.67,54.060001,52.169998,46.510132,80.700394,40.18,81.60569,24.481325,36.058998,141.119995,42.388714,30.67,32.973408,57.330002,49.32,67.844284,37.508217,98.159317,21.648348,84.900002,208.130005,47.793468,60.898438,1237.47998,68.985237,29.530001,413.839996,52.158077,124.709999,46.006805,3.89,134.970001,56.012894,86.356827,19.600668,33.029999,89.25,87.104279,203.339996,56.870438,140.759995,66.615585,31.820538,71.809998,119.43,81.311295,101.876968,55.208149
2015-03-02,47.420601,123.543694,77.550003,55.887779,82.920578,61.740002,69.959999,181.649994,23.289886,150.588669,380.089996,22.651917,125.554489,73.444931,213.309998,417.630005,113.769997,30.340111,118.029999,69.970001,82,183.520004,58.823166,147.50238,27.539232,32.59882,23.700001,61.610001,61.16,33.080002,31.77,76.059998,79.610001,56.360001,25.197811,87.029999,82.269997,89.331215,39.137543,80.010002,77.529999,33.087193,33.964046,99.567322,567.687561,572.900024,137.839996,193.139999,90,31.893011,95.777191,494.040009,28.620001,54.189999,52.25,45.98896,78.459259,39.990002,80.0541,23.839527,34.380024,136.619995,40.948368,28.5,34.190735,55.439999,50.040001,64.874283,37.07151,98.865784,22.129204,98.480003,204.190002,46.940014,58.626034,1215.98999,68.430214,28.98,422.130005,51.578339,121.900002,45.381832,3.9,136.190002,52.145512,89.309196,18.829418,32.720001,85.699997,83.703926,193.880005,55.748505,138.589996,66.977524,30.356571,70.660004,126.339996,80.596832,97.639236,54.39698
