Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,118.75,119.860001,104.82,105.260002,43750400,104.691917
2015-11-02,120.800003,123.82,111.00,118.300003,39491000,117.661545
2015-10-01,109.07,121.220001,107.309998,119.50,52797300,118.348465
2015-09-01,110.150002,116.889999,107.360001,110.300003,60620000,109.237122
2015-08-03,121.50,122.57,92.00,112.760002,79152700,111.673416
2015-07-01,126.900002,132.970001,119.220001,121.300003,50017800,119.589798
2015-06-01,130.279999,131.389999,124.480003,125.43,41949200,123.661568
2015-05-01,126.099998,132.970001,123.360001,130.279999,50251800,128.443192
2015-04-01,124.82,134.539993,123.099998,125.150002,51396700,122.872284
2015-03-02,129.25,130.279999,121.629997,124.43,53669600,122.165382
2015-02-02,118.050003,133.600006,116.080002,128.460007,63081500,126.122047
2015-01-02,111.389999,120.00,104.629997,117.160004,69419400,114.575516
