Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,107.589996,109.43,104.82,105.260002,30940300,104.691917
2015-12-21,107.279999,109.00,105.57,108.029999,31658500,107.446968
2015-12-14,112.18,112.800003,105.809998,106.029999,62952200,105.457756
2015-12-07,118.980003,119.860001,112.849998,113.18,37770800,112.569176
2015-11-30,117.989998,119.410004,114.220001,119.029999,41353100,118.387596
2015-11-23,119.269997,119.730003,117.120003,117.809998,27430100,117.174179
2015-11-16,111.379997,119.919998,111.00,119.300003,37996200,118.656143
2015-11-09,120.959999,121.809998,112.269997,112.339996,43311000,111.733704
2015-11-02,120.800003,123.82,119.610001,121.059998,39040600,120.406639
2015-10-26,118.080002,121.220001,113.989998,119.50,64472400,118.348465
2015-10-19,110.800003,119.230003,110.110001,119.080002,44308600,117.93251
2015-10-12,112.730003,112.75,109.559998,111.040001,36777700,109.969986
2015-10-05,109.879997,112.279999,108.209999,112.120003,52486600,111.039581
2015-09-28,113.849998,114.57,107.309998,110.379997,62779200,109.316345
2015-09-21,113.669998,116.690002,112.370003,114.709999,48539200,113.604622
2015-09-14,116.580002,116.889999,111.870003,113.449997,55455200,112.356758
2015-09-08,111.75,114.209999,109.769997,114.209999,63165600,113.109436
2015-08-31,112.029999,114.529999,107.360001,109.269997,59638800,108.217041
2015-08-24,94.870003,113.309998,92.00,113.290001,100072600,112.198303
2015-08-17,116.040001,117.650002,105.650002,105.760002,63933600,104.740868
2015-08-10,116.529999,119.989998,109.629997,115.959999,68943400,114.842575
2015-08-03,121.50,122.57,112.099998,115.519997,77000100,114.406815
2015-07-27,123.089996,123.910004,120.910004,121.300003,38319700,119.589798
2015-07-20,130.970001,132.970001,121.989998,124.50,68853800,122.744682
2015-07-13,125.029999,129.619995,124.32,129.619995,37848900,127.792488
2015-07-06,124.940002,126.230003,119.220001,123.279999,54988900,121.541878
2015-06-29,125.459999,126.940002,124.480003,126.440002,37745400,124.657333
2015-06-22,127.489998,129.800003,126.510002,126.75,39118800,124.962959
2015-06-15,126.099998,128.309998,125.709999,126.599998,39705000,124.815071
2015-06-08,128.899994,130.179993,125.620003,127.169998,44022900,125.377037
2015-06-01,130.279999,131.389999,128.360001,128.649994,34149300,126.836166
2015-05-26,132.600006,132.910004,129.119995,130.279999,49537100,128.443192
2015-05-18,128.380005,132.970001,128.360001,132.539993,43459400,130.671326
2015-05-11,127.389999,129.490005,124.82,128.770004,41660300,126.954483
2015-05-04,129.50,130.570007,123.360001,127.620003,54378400,125.820694
2015-04-27,132.309998,134.539993,124.580002,128.949997,84194400,126.603119
2015-04-20,125.57,130.630005,125.169998,130.279999,41488100,127.908913
2015-04-13,128.369995,128.570007,124.459999,124.75,34237200,122.479561
2015-04-06,124.470001,128.119995,124.330002,127.099998,36441500,124.786789
2015-03-30,124.050003,126.489998,123.099998,125.32,40507900,123.039185
2015-03-23,127.120003,128.039993,122.599998,123.25,41865200,121.006859
2015-03-16,123.879997,129.25,122.870003,125.900002,53334500,123.608635
2015-03-09,127.959999,129.570007,121.629997,123.589996,65302800,121.340668
2015-03-02,129.25,130.279999,125.760002,126.599998,49387700,124.295891
2015-02-23,130.020004,133.600006,126.610001,128.460007,73643200,126.122047
2015-02-17,127.489998,129.50,126.919998,129.50,48588700,127.143112
2015-02-09,118.550003,127.480003,118.43,127.080002,60641300,124.767159
2015-02-02,118.050003,120.510002,116.080002,118.93,54151400,116.76548
2015-01-26,113.739998,120.00,109.029999,117.160004,93168500,114.575516
2015-01-20,107.839996,113.75,106.50,112.980003,49684200,110.487724
2015-01-12,112.599998,112.800003,105.199997,105.989998,60721400,103.651909
2015-01-05,108.290001,113.25,104.629997,112.010002,56650500,109.539116
2015-01-02,111.389999,111.440002,107.349998,109.330002,53204600,106.918236
