Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,105.019997,107.739998,104.529999,104.660004,15392300,104.660004
2015-12-21,104.910004,106.110001,103.599998,105.019997,14042200,105.019997
2015-12-14,102.290001,107.75,101.459999,104.040001,25068600,104.040001
2015-12-07,106.480003,106.910004,101.910004,102.120003,20518500,102.120003
2015-11-30,105.839996,107.919998,103.349998,106.18,22226400,106.18
2015-11-23,107.190002,107.470001,104.389999,105.449997,16131200,105.449997
2015-11-16,103.32,107.879997,100.470001,107.32,29520600,107.32
2015-11-09,107.00,109.870003,103.830002,103.949997,25535000,103.949997
2015-11-02,101.720001,110.650002,101.18,107.099998,37406500,107.099998
2015-10-26,102.199997,105.120003,101.550003,101.970001,25528400,101.970001
2015-10-19,97.18,102.849998,96.470001,102.190002,29146200,102.190002
2015-10-12,93.32,97.589996,92.669998,97.540001,22030700,97.540001
2015-10-05,92.940002,94.269997,90.470001,93.239998,24242700,93.239998
2015-09-28,92.080002,92.290001,85.720001,92.07,37363200,92.07
2015-09-21,94.620003,96.489998,91.919998,92.769997,29089500,92.769997
2015-09-14,92.309998,95.510002,91.599998,94.400002,29090000,94.400002
2015-09-08,89.690002,92.080002,88.830002,92.050003,26796500,92.050003
2015-08-31,90.599998,91.050003,86.50,88.260002,30103100,88.260002
2015-08-24,77.029999,91.480003,72.00,91.010002,51300700,91.010002
2015-08-17,94.419998,96.099998,85.610001,86.059998,34244100,86.059998
2015-08-10,95.68,95.900002,91.190002,94.419998,20909400,94.419998
2015-08-03,93.529999,98.739998,92.800003,94.300003,28952500,94.300003
2015-07-27,96.580002,97.279999,91.800003,94.010002,54238000,94.010002
2015-07-20,95.849998,99.239998,94.809998,96.949997,37095400,96.949997
2015-07-13,88.660004,95.389999,88.419998,94.970001,32659300,94.970001
2015-07-06,86.489998,88.220001,85.230003,87.949997,25729600,87.949997
2015-06-29,86.610001,87.949997,85.57,87.290001,25339900,87.290001
2015-06-22,83.410004,89.400002,83.309998,88.010002,37387500,88.010002
2015-06-15,80.550003,83.190002,80.07,82.510002,20196900,82.510002
2015-06-08,81.82,82.900002,79.32,81.529999,17003700,81.529999
2015-06-01,79.300003,82.949997,78.660004,82.139999,21164800,82.139999
